jboolean_operators1#boolean_expression_v2,us13A01,0,easy,3.0
jboolean_operators1#boolean_expression_v2,us13A02,1,easy,3.0
jboolean_operators1#boolean_expression_v2,us13A03,3,easy,7.0
jboolean_operators1#boolean_expression_v2,us13A04,NA,easy,6.0
jboolean_operators1#boolean_expression_v2,us13A05,NA,easy,6.0
jboolean_operators1#boolean_expression_v2,us13A06,2,easy,6.0
jboolean_operators1#boolean_expression_v2,us13A07,2,easy,6.0
jboolean_operators1#boolean_expression_v2,us13A08,NA,easy,8.0
jboolean_operators1#boolean_expression_v2,us13A09,3,easy,4.0
jboolean_operators1#boolean_expression_v2,us13A10,1,easy,6.0
jboolean_operators1#boolean_expression_v2,us13A11,NA,easy,5.0
jboolean_operators1#boolean_expression_v2,us13A12,NA,easy,5.0
jboolean_operators1#boolean_expression_v2,us13B01,NA,easy,6.0
jboolean_operators1#boolean_expression_v2,us13B02,1,easy,6.0
jboolean_operators1#boolean_expression_v2,us13B03,NA,easy,5.0
jboolean_operators1#boolean_expression_v2,us13B04,1,easy,3.0
jboolean_operators1#boolean_expression_v2,us13B05,NA,easy,5.0
jboolean_operators1#boolean_expression_v2,us13B06,NA,easy,6.0
jboolean_operators1#boolean_expression_v2,us13B07,NA,easy,2.0
jboolean_operators1#boolean_expression_v2,us13B08,3,easy,5.0
jboolean_operators1#boolean_expression_v2,us13B09,NA,easy,1.0
jboolean_operators1#boolean_expression_v2,us13B10,2,easy,7.0
jboolean_operators1#boolean_expression_v2,us13B11,NA,easy,6.0
jboolean_operators1#boolean_expression_v2,us13B12,2,easy,0.0
jboolean_operators1#boolean_expression_v2,us13B13,3,easy,1.0
jboolean_operators1#boolean_expression_v2,us13B14,NA,easy,0.0
jboolean_operators1#boolean_expression_v2,us13B15,NA,easy,4.0
jboolean_operators1#boolean_expression_v2,us13C01,3,easy,2.0
jboolean_operators1#boolean_expression_v2,us13C02,NA,easy,5.0
jboolean_operators1#boolean_expression_v2,us13C03,3,easy,5.0
jboolean_operators1#boolean_expression_v2,us13C04,NA,easy,7.0
